Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
161,Titanium,47.867,4.5,77,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,296.627,14831.35
162,Titanium,47.867,4.5,296,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,198.942,9947.1
163,Titanium,47.867,4.5,373,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,148.714,7435.7
164,Titanium,47.867,4.5,473,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,91.509,4575.45
165,Titanium,47.867,4.5,573,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,50.349,2517.45
166,Titanium,47.867,4.5,673,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,41.284,2064.2
167,Titanium,47.867,4.5,773,1941,0.001,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,37.1,1855
168,Titanium,47.867,4.5,77,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,359.129,12956.45
169,Titanium,47.867,4.5,296,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,257.134,12856.7
170,Titanium,47.867,4.5,373,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,174.609,8730.45
171,Titanium,47.867,4.5,473,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,122.264,6113.2
172,Titanium,47.867,4.5,598,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,104.821,5241.05
173,Titanium,47.867,4.5,798,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,66.572,3328.6
174,Titanium,47.867,4.5,77,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,366.023,18301.15
175,Titanium,47.867,4.5,296,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,283.413,14170.65
176,Titanium,47.867,4.5,398,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,248.003,12400.15
177,Titanium,47.867,4.5,498,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,223.16,11158
178,Titanium,47.867,4.5,598,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,203.906,10195.3
179,Titanium,47.867,4.5,698,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,164.775,8238.75
180,Titanium,47.867,4.5,798,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,143.658,7182.9
181,Titanium,47.867,4.5,998,1941,2200,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,112.598,5629.9
182,Titanium,47.867,4.5,296,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,237.593,11879.65
183,Titanium,47.867,4.5,498,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,227.262,11363.1
184,Titanium,47.867,4.5,598,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,189.954,9497.7
185,Titanium,47.867,4.5,698,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,178.155,8907.75
186,Titanium,47.867,4.5,798,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,138.551,6927.549
187,Titanium,47.867,4.5,898,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,118.176,5908.8
188,Titanium,47.867,4.5,998,1941,8000,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,93.208,4660.4
189,Aluminum,26.981,2.694,648,933.5,0.005,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,9.99,499.5
190,Aluminum,26.981,2.694,748,933.5,0.005,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,5.094,254.7
191,Aluminum,26.981,2.694,798,933.5,0.005,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,2.939,146.95
192,Aluminum,26.981,2.694,648,933.5,0.05,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,13.86,693
193,Aluminum,26.981,2.694,748,933.5,0.05,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,8.419,420.95
194,Aluminum,26.981,2.694,798,933.5,0.05,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,6.65,332.5
195,Aluminum,26.981,2.694,648,933.5,0.5,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,22.171,1108.55
196,Aluminum,26.981,2.694,748,933.5,0.5,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,14.239,711.95
197,Aluminum,26.981,2.694,798,933.5,0.5,0.93,0,1,0,4.049,4.049,4.049,90,90,90,40,8.452,422.599
198,Titanium,47.867,4.5,623,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,183.665,7346.599
199,Titanium,47.867,4.5,673,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,154.269,6170.76
200,Titanium,47.867,4.5,723,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,128.426,5137.039
201,Titanium,47.867,4.5,773,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,116.474,4658.96
202,Titanium,47.867,4.5,623,1941,0.016,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,195.312,7812.48
203,Titanium,47.867,4.5,673,1941,0.016,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,164.282,6571.28
204,Titanium,47.867,4.5,723,1941,0.016,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,130.715,5228.599
205,Titanium,47.867,4.5,773,1941,0.016,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,116.144,4644.559
